age,educ,black,hisp,married,re74,re75,unem75,unem74,agesq,avgre,travgre,unem78,em78,Z_voucher,treat_itemC,re78_c
23,12,1,0,0,0,0,1,1,529,0,0,0,1,0,1,.43160418
28,8,1,0,0,0,0,1,1,784,0,0,1,0,0,0,0
31,11,1,0,1,0,0,1,1,961,0,0,0,1,0,0,7.0695925
18,11,1,0,0,0,0,1,1,324,0,0,1,0,0,1,0
25,12,1,0,0,0,0,1,1,625,0,0,0,1,0,0,2.6837101
30,11,1,0,1,0,0,1,1,900,0,0,0,1,1,1,12.902669
17,10,1,0,0,0,0,1,1,289,0,0,1,0,0,0,.20226987
37,9,1,0,0,0,0,1,1,1369,0,0,0,1,1,1,8.2813406
41,4,1,0,1,0,0,1,1,1681,0,0,0,1,0,0,0
42,14,1,0,1,0,0,1,1,1764,0,0,0,1,0,1,9.0439816
17,8,1,0,0,0,0,1,1,289,0,0,1,0,0,0,1.4914056
29,8,1,0,0,0,0,1,1,841,0,0,0,1,0,0,0
35,10,1,0,0,0,0,1,1,1225,0,0,0,1,1,1,2.8749621
27,11,1,0,0,0,0,1,1,729,0,0,0,1,1,1,5.5810609
29,4,1,0,0,0,0,1,1,841,0,0,0,1,0,1,0
28,9,1,0,0,0,0,1,1,784,0,0,0,1,1,1,1.0816995
27,11,1,0,0,0,0,1,1,729,0,0,1,0,1,1,0
45,5,1,0,1,0,0,1,1,2025,0,0,0,1,0,1,0
29,13,1,0,0,0,0,1,1,841,0,0,0,1,0,0,12.341401
27,9,1,0,0,0,0,1,1,729,0,0,1,0,0,0,8.5858021
46,13,1,0,0,0,0,1,1,2116,0,0,0,1,0,0,6.7071729
18,6,1,0,0,0,0,1,1,324,0,0,1,0,1,1,4.2728462
25,12,1,0,0,0,0,1,1,625,0,0,0,1,0,0,.442532
28,15,1,0,0,0,0,1,1,784,0,0,0,1,1,1,4.9357305
22,12,1,0,0,0,0,1,1,484,0,0,0,1,1,1,17.809799
21,9,1,0,0,0,0,1,1,441,0,0,1,0,1,1,13.560048
40,11,1,0,0,0,0,1,1,1600,0,0,0,1,0,0,7.8077331
22,11,1,0,0,0,0,1,1,484,0,0,0,1,1,1,15.604657
25,12,1,0,0,0,0,1,1,625,0,0,1,0,0,0,0
18,12,1,0,0,0,0,1,1,324,0,0,0,1,0,0,0
27,13,1,0,0,0,0,1,1,729,0,0,1,0,1,1,11.0973
27,8,1,0,0,0,0,1,1,729,0,0,1,0,0,0,2.0267401
38,11,1,0,0,0,0,1,1,1444,0,0,1,0,1,0,0
26,11,1,0,0,0,0,1,1,676,0,0,0,1,0,0,13.54499
25,8,1,0,0,0,0,1,1,625,0,0,1,0,1,1,13.15126
31,11,1,0,1,0,0,1,1,961,0,0,0,1,1,1,3.1221142
17,10,1,0,0,0,0,1,1,289,0,0,1,0,1,1,2.3084147
25,11,1,0,0,0,0,1,1,625,0,0,1,0,1,1,6.7469778
21,12,1,0,0,0,0,1,1,441,0,0,0,1,1,1,0
44,11,1,0,0,0,0,1,1,1936,0,0,1,0,0,0,4.5193715
18,9,1,0,0,0,0,1,1,324,0,0,0,1,1,1,.86016953
42,12,1,0,0,0,0,1,1,1764,0,0,0,1,1,1,0
25,10,1,0,0,0,0,1,1,625,0,0,1,0,1,1,7.2618823
24,10,1,0,0,0,0,1,1,576,0,0,1,0,1,1,11.255028
26,10,1,0,0,0,0,1,1,676,0,0,0,1,1,1,0
25,11,1,0,0,0,0,1,1,625,0,0,0,1,1,1,0
18,11,1,0,0,0,0,1,1,324,0,0,0,1,0,1,10.872637
19,11,1,0,0,0,0,1,1,361,0,0,0,1,0,1,4.2731819
43,9,1,0,0,0,0,1,1,1849,0,0,1,0,1,1,.090111136
27,13,1,0,0,0,0,1,1,729,0,0,0,1,0,1,7.8572125
17,9,1,0,0,0,0,1,1,289,0,0,0,1,0,0,14.702013
30,11,1,0,0,0,0,1,1,900,0,0,1,0,0,0,4.5743575
26,10,1,0,1,2.0280001,0,1,0,676,1.0140001,1.0140001,1,0,1,1,18.37966
20,9,1,0,0,6.0839901,0,1,0,400,3.041995,3.041995,0,1,0,1,14.753355
20,12,1,0,0,.989268,.165208,0,0,400,.57723802,.57723802,1,0,0,0,11.405011
18,11,1,0,0,.85825402,.214564,0,0,324,.53640902,.53640902,0,1,0,0,0
27,12,1,0,1,3.6708701,.33404902,0,0,729,2.0024595,2.0024595,1,0,0,0,0
27,12,1,0,0,2.14341,.35795,0,0,729,1.25068,1.25068,0,1,0,1,15.131433
20,12,1,0,0,0,.37756899,0,1,400,.18878449,.18878449,0,1,0,1,7.0678606
19,10,1,0,0,0,.38527399,0,1,361,.192637,.192637,0,1,0,1,6.3153229
23,12,1,0,0,5.50631,.50107402,0,0,529,3.0036919,3.0036919,0,1,0,0,13.228861
29,14,1,0,0,0,.67967296,0,1,841,.33983648,.33983648,0,1,0,1,0
18,10,1,0,0,0,.798908,0,1,324,.399454,.399454,0,1,0,0,4.7398748
19,9,1,0,0,0,.798908,0,1,361,.399454,.399454,0,1,0,0,10.753325
27,9,1,0,1,0,.93444502,0,1,729,.46722251,.46722251,0,1,0,0,5.4115815
22,12,1,0,0,5.6058502,.93617702,0,0,484,3.2710137,3.2710137,1,0,1,1,6.4408588
23,10,1,0,1,0,.93643904,0,1,529,.46821952,.46821952,0,1,0,0,9.7867508
20,11,1,0,0,3.6375,1.22084,0,0,400,2.4291701,2.4291701,0,1,0,0,2.8361003
17,9,1,0,0,1.7165101,1.2534399,0,0,289,1.484975,1.484975,0,1,0,0,12.06257
28,11,1,0,0,0,1.2840799,0,1,784,.64203995,.64203995,0,1,0,0,4.9763598
26,11,1,0,1,0,1.3928499,0,1,676,.69642496,.69642496,0,1,0,0,6.7088399
20,11,1,0,0,16.3186,1.48499,0,0,400,8.9017944,8.9017944,0,1,1,1,10.439736
24,11,1,0,1,.82438898,1.66611,0,0,576,1.2452495,1.2452495,0,1,0,1,.84833109
31,9,1,0,0,0,1.6986099,0,1,961,.84930497,.84930497,0,1,0,0,6.5991549
18,10,1,0,0,2.14341,1.78427,0,0,324,1.96384,1.96384,0,1,0,0,22.687922
29,12,1,0,0,10.881901,1.8172801,0,0,841,6.3495903,6.3495903,1,0,1,1,5.1794209
24,9,1,0,0,9.1547003,2.2886798,0,0,576,5.7216902,5.7216902,0,1,1,1,.098065607
25,12,1,0,0,14.4268,2.40927,0,0,625,8.4180346,8.4180346,1,0,0,0,6.8490758
24,10,1,0,0,4.2504001,2.4219499,0,0,576,3.336175,3.336175,0,1,1,0,25.893234
46,8,1,0,0,3.1656599,2.5947199,0,0,2116,2.8801899,2.8801899,1,0,1,1,2.8657537
19,11,1,0,0,2.3050301,2.6152799,0,0,361,2.460155,2.460155,0,1,0,0,4.2899723
19,8,1,0,0,0,2.6570601,0,1,361,1.3285301,1.3285301,0,1,0,0,.20589183
27,11,1,0,0,2.2069399,2.66627,0,0,729,2.436605,2.436605,1,0,1,1,10.640387
26,11,1,0,1,0,2.7546499,0,1,676,1.3773249,1.3773249,0,1,1,1,0
20,10,1,0,0,5.0057302,2.7773602,0,0,400,3.8915453,3.8915453,0,1,0,0,.61019069
28,10,1,0,0,0,2.8365099,0,1,784,1.418255,1.418255,0,1,1,1,15.65655
24,12,1,0,0,13.7658,2.8427601,0,0,576,8.3042793,8.3042793,0,1,1,1,22.89826
19,8,1,0,0,2.6363502,2.9372599,0,0,361,2.7868052,2.7868052,0,1,0,0,22.057177
23,12,1,0,0,6.26934,3.0399599,0,0,529,4.6546497,4.6546497,0,1,1,1,13.965509
42,9,1,0,1,0,3.0585301,0,1,1764,1.529265,1.529265,0,1,1,1,13.25123
25,13,1,0,0,12.362901,3.09073,0,0,625,7.7268152,7.7268152,1,0,0,0,10.329351
18,9,1,0,0,0,3.28738,0,1,324,1.64369,1.64369,0,1,0,0,16.785278
21,12,1,0,0,6.47368,3.3324099,0,0,441,4.9030447,4.9030447,0,1,0,1,11.386444
27,10,1,0,0,1.00115,3.5500801,0,0,729,2.275615,2.275615,1,0,0,0,13.328489
21,8,1,0,0,.989268,3.6959,0,0,441,2.3425839,2.3425839,0,1,0,0,7.4059443
22,9,1,0,0,2.1928799,3.8369899,0,0,484,3.014935,3.014935,0,1,1,1,16.612028
31,4,1,0,0,8.5175896,4.02321,0,0,961,6.2704,6.2704,0,1,0,0,13.993897
24,10,1,0,1,11.7032,4.0781498,0,0,576,7.8906751,7.8906751,1,0,0,1,19.169512
29,10,1,0,0,0,4.3989501,0,1,841,2.199475,2.199475,1,0,0,0,15.457453
29,12,1,0,0,9.7483892,4.8789401,0,0,841,7.3136644,7.3136644,0,1,1,1,15.643204
31,9,1,0,0,10.717,5.5178399,0,0,961,8.1174202,8.1174202,0,1,1,1,10.843133
22,10,1,0,1,1.4683499,5.5886602,0,0,484,3.5285051,3.5285051,0,1,0,0,13.236577
21,9,1,0,0,6.4164701,5.74933,0,0,441,6.0829,6.0829,0,1,0,0,20.803032
17,10,1,0,0,1.2914699,5.7938499,0,0,289,3.54266,3.54266,0,1,0,0,16.081526
26,12,1,0,1,8.4087601,5.7948298,0,0,676,7.1017952,7.1017952,0,1,0,0,23.137609
19,10,1,0,0,4.1219501,6.0567498,0,0,361,5.0893497,5.0893497,1,0,0,1,10.421147
26,10,1,0,0,25.929699,6.78896,0,0,676,16.359329,16.359329,0,1,1,1,6.7504978
28,11,1,0,0,1.9290301,6.87186,0,0,784,4.400445,4.400445,1,0,0,0,16.767147
33,11,1,0,0,0,7.8679199,0,1,1089,3.93396,3.93396,0,1,0,0,0
33,12,1,0,1,20.280001,10.941401,0,0,1089,15.610701,15.610701,0,1,0,1,31.019873
25,14,1,0,1,35.0401,11.536599,0,0,625,23.288349,23.288349,0,1,1,1,41.342758
35,9,1,0,1,13.602401,13.8306,0,0,1225,13.7165,13.7165,0,1,1,1,10.895721
35,8,1,0,1,13.7321,17.9762,0,0,1225,15.85415,15.85415,0,1,0,0,21.3237
33,11,1,0,1,14.6607,25.142199,0,0,1089,19.901449,19.901449,0,1,0,0,26.885397
22,9,0,1,0,0,0,1,1,484,0,0,0,1,0,0,0
33,12,0,0,1,0,0,1,1,1089,0,0,0,1,1,1,0
41,14,0,0,0,0,0,1,1,1681,0,0,0,1,0,0,8.3741322
38,9,0,0,0,0,0,1,1,1444,0,0,0,1,0,1,0
27,10,0,1,0,0,0,1,1,729,0,0,0,1,0,1,12.1149
19,9,0,0,0,0,0,1,1,361,0,0,0,1,0,0,14.477366
18,8,0,1,1,0,0,1,1,324,0,0,0,1,0,0,.86071324
22,11,0,0,0,0,0,1,1,484,0,0,0,1,0,0,14.501898
23,7,0,0,0,0,0,1,1,529,0,0,1,0,0,0,8.4650879
25,11,0,0,0,0,0,1,1,625,0,0,0,1,0,1,0
38,12,0,0,0,0,0,1,1,1444,0,0,0,1,0,0,0
23,8,0,1,0,0,0,1,1,529,0,0,0,1,1,1,17.643456
21,12,0,0,0,0,0,1,1,441,0,0,0,1,0,0,7.5258985
25,12,0,0,0,0,0,1,1,625,0,0,0,1,1,1,11.885112
31,9,0,1,0,0,0,1,1,961,0,0,0,1,1,1,.20763375
17,9,0,1,0,.44517002,.074343495,0,0,289,.25975674,.25975674,0,1,0,0,5.4922566
21,12,0,0,0,3.6708701,.33404902,0,0,441,2.0024595,2.0024595,0,1,0,0,5.7508831
27,13,0,0,1,9.3815699,.85372305,0,0,729,5.1176462,5.1176462,1,0,1,1,20.320368
18,11,0,0,0,3.67823,.91955799,0,0,324,2.2988939,2.2988939,0,1,1,1,14.754701
23,12,0,1,0,9.3857403,1.11744,0,0,529,5.2515903,5.2515903,0,1,0,0,20.266615
23,8,0,0,1,0,1.71315,0,1,529,.85657501,.85657501,0,1,1,1,6.2533665
26,11,0,0,0,0,2.22627,0,1,676,1.113135,1.113135,0,1,0,1,4.4645514
31,12,0,0,0,0,2.6112199,0,1,961,1.3056099,1.3056099,0,1,1,1,2.8127544
19,10,0,0,0,0,5.32411,0,1,361,2.662055,2.662055,0,1,0,0,12.774954
19,11,0,1,1,5.4244905,5.4638,0,0,361,5.4441452,5.4441452,0,1,0,1,13.522557
20,9,0,1,0,12.260799,5.8750496,0,0,400,9.0679245,9.0679245,0,1,0,1,10.829402
22,12,0,1,1,.49223098,7.0557003,0,0,484,3.7739656,3.7739656,0,1,1,1,12.734859
22,12,0,0,0,6.7599902,8.4554996,0,0,484,7.6077452,7.6077452,0,1,1,1,12.449993
29,10,0,1,0,0,8.8536701,0,1,841,4.4268351,4.4268351,0,1,0,1,8.9993067
50,12,1,0,1,0,0,1,1,2500,0,0,1,0,0,1,0
28,12,1,0,1,0,0,1,1,784,0,0,1,0,0,1,0
25,12,1,0,0,0,0,1,1,625,0,0,1,0,1,1,3.3866105
50,12,1,0,1,0,0,1,1,2500,0,0,1,0,0,1,1.4773446
23,12,1,0,0,0,0,1,1,529,0,0,0,1,1,1,9.5452223
34,14,1,0,1,0,0,1,1,1156,0,0,1,0,1,1,5.2038546
36,12,1,0,1,0,0,1,1,1296,0,0,0,1,1,1,12.605861
36,12,1,0,1,0,8.9516106,0,1,1296,4.4758053,0,0,1,0,1,12.854931
33,13,1,0,1,0,10.7419,0,1,1089,5.3709502,0,0,1,0,1,9.4463196
25,12,1,0,1,0,21.4839,0,1,625,10.74195,0,0,1,0,0,7.5944958
43,12,1,0,1,.715132,1.87984,0,0,1849,1.2974861,0,0,1,0,1,14.787029
24,12,1,0,0,.78370696,0,1,0,576,.39185348,0,0,1,0,1,7.0670791
23,12,1,0,0,1.0776,3.2225802,0,0,529,2.1500902,0,0,1,0,1,14.191676
22,12,1,0,1,1.2696,0,1,0,484,.63480002,0,1,0,0,0,8.6579046
20,12,1,0,0,1.3675699,12.5323,0,0,400,6.949935,0,0,1,0,1,9.243742
21,12,1,0,0,1.95927,5.4604802,0,0,441,3.7098751,0,0,1,1,1,16.081745
22,12,1,0,1,2.00629,2.47065,0,0,484,2.2384701,0,1,0,0,1,12.428394
20,12,1,0,0,2.3511202,4.4758101,0,0,400,3.413465,0,0,1,0,1,14.332747
28,12,1,0,0,2.9389,2.8645201,0,0,784,2.90171,0,1,0,0,0,15.124685
24,12,1,0,0,3.33075,4.65484,0,0,576,3.992795,0,0,1,0,0,16.871395
22,12,1,0,0,3.5795801,17.1334,0,0,484,10.35649,0,0,1,0,1,22.448528
20,12,1,0,0,3.7304399,8.9516106,0,0,400,6.3410254,0,0,1,0,1,13.896195
27,12,1,0,1,3.91853,1.9944201,0,0,729,2.956475,0,0,1,0,1,15.909922
23,12,1,0,1,3.91853,2.8645201,0,0,529,3.391525,0,0,1,0,1,10.386108
23,12,1,0,1,3.91853,11.637099,0,0,529,7.7778149,0,0,1,0,0,8.4412355
31,12,1,0,1,3.91853,18.4403,0,0,961,11.179415,0,0,1,1,1,23.738827
19,12,1,0,0,5.38798,8.0564499,0,0,361,6.7222147,0,0,1,0,0,9.3213644
21,12,1,0,1,5.868,3.04355,0,0,441,4.4557753,0,0,1,1,1,22.505339
24,12,1,0,1,5.8778,8.9516106,0,0,576,7.4147053,0,0,1,0,1,19.619326
31,12,1,0,1,5.8778,11.0642,0,0,961,8.4710007,0,0,1,1,1,19.620811
22,12,1,0,0,5.89152,10.3678,0,0,484,8.1296597,0,0,1,0,1,17.155416
20,13,1,0,0,5.8973904,12.5323,0,0,400,9.2148457,0,0,1,0,1,11.883968
23,12,1,0,0,6.4949703,12.5323,0,0,529,9.5136356,0,0,1,1,1,25.375027
22,12,1,0,0,6.5831404,4.4758101,0,0,484,5.5294752,0,1,0,1,0,18.215725
21,12,1,0,0,6.66151,11.458099,0,0,441,9.0598049,0,0,1,0,0,11.637266
27,12,1,0,1,6.8554702,0,1,0,729,3.4277351,0,0,1,1,1,17.592188
27,13,1,0,1,6.85743,4.0962596,0,0,729,5.4768448,0,0,1,0,1,16.693998
24,12,1,0,1,6.85743,14.322599,0,0,576,10.590014,0,0,1,1,1,30.934111
28,15,1,0,0,7.44521,0,1,0,784,3.722605,0,0,1,0,1,17.298985
53,14,1,0,1,7.64114,8.4216795,0,0,2809,8.0314102,0,0,1,0,1,18.539461
19,12,1,0,0,7.83707,3.75968,0,0,361,5.7983751,0,0,1,1,1,26.138966
32,12,1,0,1,7.83707,5.3709702,0,0,1024,6.6040201,0,0,1,0,0,21.447443
20,12,1,0,1,7.83707,8.9516106,0,0,400,8.3943405,0,0,1,1,1,36.476761
27,12,1,0,1,7.83707,8.9516106,0,0,729,8.3943405,0,0,1,0,0,11.683661
23,12,1,0,1,7.83707,12.5323,0,0,529,10.184685,0,0,1,1,1,20.982746
23,12,1,0,1,7.9938102,13.427401,0,0,529,10.710606,0,0,1,0,0,14.248156
21,12,1,0,1,8.1505499,13.0926,0,0,441,10.621574,0,0,1,0,0,9.1588535
24,12,1,0,1,8.2759409,15.4165,0,0,576,11.84622,0,0,1,1,1,17.186899
26,12,1,0,1,8.6168604,8.5935497,0,0,676,8.6052055,0,0,1,0,0,14.462994
23,14,1,0,1,8.6756296,10.3982,0,0,529,9.5369148,0,0,1,0,1,17.538174
25,12,1,0,0,8.8167,6.26613,0,0,625,7.5414152,0,0,1,0,0,17.732849
23,12,1,0,1,8.8167,12.1742,0,0,529,10.49545,0,0,1,0,0,13.032349
27,12,1,0,0,8.8167,14.322599,0,0,729,11.56965,0,0,1,0,0,16.848639
21,12,1,0,0,8.8167,14.8597,0,0,441,11.8382,0,0,1,1,1,14.576962
23,14,1,0,1,8.9342594,12.5323,0,0,529,10.73328,0,0,1,1,1,18.789778
23,16,1,0,0,9.0126295,16.4907,0,0,529,12.751665,0,0,1,0,1,33.877232
27,12,1,0,1,9.0674906,5.3709702,0,0,729,7.2192307,0,0,1,0,0,12.380517
21,12,1,0,1,9.1693697,7.1612902,0,0,441,8.1653299,0,0,1,0,0,21.138712
23,12,1,0,1,9.1693697,8.2712898,0,0,529,8.7203293,0,0,1,0,1,10.96576
21,14,1,0,0,9.4201508,5.3709702,0,0,441,7.3955603,0,0,1,0,1,24.908783
27,12,1,0,1,9.7963305,0,1,0,729,4.8981652,0,0,1,1,1,17.419128
21,12,1,0,1,9.7963305,4.2967701,0,0,441,7.0465503,0,0,1,0,0,18.043736
33,12,1,0,0,9.7963305,8.9516106,0,0,1089,9.37397,0,1,0,0,0,11.89727
22,12,1,0,1,9.7963305,10.7419,0,0,484,10.269115,0,0,1,0,1,26.278486
29,12,1,0,1,9.7963305,12.5323,0,0,841,11.164315,0,0,1,0,0,15.816873
23,12,1,0,1,9.7963305,12.5323,0,0,529,11.164315,0,0,1,0,0,13.298444
27,12,1,0,1,9.7963305,14.322599,0,0,729,12.059465,0,0,1,1,1,23.486032
24,12,1,0,1,9.7963305,14.322599,0,0,576,12.059465,0,0,1,0,0,23.953566
25,12,1,0,1,9.7963305,21.4839,0,0,625,15.640116,0,0,1,1,1,14.292902
30,12,1,0,1,9.7963305,25.064501,0,0,900,17.430416,0,0,1,0,1,22.965717
26,12,1,0,0,9.9138899,10.7419,0,0,676,10.327895,0,0,1,0,0,29.10269
31,12,1,0,1,10.1882,8.9516106,0,0,961,9.5699053,0,0,1,0,0,20.508102
25,13,1,0,0,10.247,15.3968,0,0,625,12.821899,0,0,1,0,0,18.446386
27,12,1,0,0,10.623099,3.2225802,0,0,729,6.9228396,0,0,1,1,1,16.282291
27,12,1,0,1,10.776,8.9516106,0,0,729,9.8638058,0,0,1,0,0,27.320557
24,12,1,0,0,10.776,9.30968,0,0,576,10.04284,0,0,1,1,1,20.667356
20,12,1,0,0,10.776,16.372499,0,0,400,13.574249,0,0,1,0,1,19.737803
23,12,1,0,1,10.776,20.4813,0,0,529,15.628651,0,0,1,0,0,35.47522
26,12,1,0,1,11.1678,1.0741899,0,0,676,6.120995,0,0,1,0,0,25.288177
23,12,1,0,1,11.1678,7.8129702,0,0,529,9.4903851,0,0,1,0,1,19.909239
24,12,1,0,0,11.2854,13.069401,0,0,576,12.177401,0,0,1,0,1,3.3682556
23,12,1,0,0,11.3285,2.6854799,0,0,529,7.00699,0,0,1,1,1,9.160903
28,14,1,0,1,11.7556,0,1,0,784,5.8778,0,0,1,0,1,9.6080914
29,12,1,0,1,11.7556,9.8467693,0,0,841,10.801185,0,0,1,0,1,37.992027
24,13,1,0,1,11.7556,10.7419,0,0,576,11.248751,0,0,1,1,1,10.76871
21,12,1,0,1,11.7556,14.322599,0,0,441,13.0391,0,0,1,1,1,41.213902
25,12,1,0,1,11.7556,14.322599,0,0,625,13.0391,0,0,1,0,0,29.788477
22,13,1,0,1,11.7556,15.2177,0,0,484,13.48665,0,1,0,0,1,21.217812
27,15,1,0,0,11.7556,16.7449,0,0,729,14.25025,0,0,1,0,0,33.511292
26,12,1,0,1,11.7752,14.150701,0,0,676,12.96295,0,0,1,0,1,20.628893
25,13,1,0,1,11.9319,13.824901,0,0,625,12.878401,0,0,1,1,1,28.216215
30,12,1,0,1,12.2258,10.7419,0,0,900,11.48385,0,0,1,1,1,28.534529
24,12,1,0,1,12.6588,19.693501,0,0,576,16.176151,0,0,1,0,0,28.758875
37,17,1,0,1,12.7352,1.30694,0,0,1369,7.02107,0,0,1,0,0,17.234634
23,12,1,0,0,12.7352,14.322599,0,0,529,13.5289,0,0,1,0,0,27.065813
25,16,1,0,1,12.7352,18.261301,0,0,625,15.498251,0,0,1,1,1,28.786745
28,12,1,0,1,12.7352,19.693501,0,0,784,16.21435,0,0,1,0,0,29.812174
27,12,1,0,1,13.1271,12.3532,0,0,729,12.74015,0,0,1,1,1,18.057472
26,16,1,0,1,13.323,19.693501,0,0,676,16.508251,0,0,1,1,1,22.093294
22,12,1,0,1,13.5189,13.427401,0,0,484,13.47315,0,0,1,0,0,14.093815
22,12,1,0,1,13.6659,17.9032,0,0,484,15.78455,0,0,1,1,1,49.64996
22,12,1,0,1,13.7149,0,1,0,484,6.85745,0,0,1,0,0,3.5991855
25,12,1,0,1,13.7149,8.2354803,0,0,625,10.97519,0,0,1,1,1,24.450974
33,12,1,0,0,13.7149,11.1,0,0,1089,12.40745,0,0,1,1,1,31.604342
55,16,1,0,1,13.7149,11.9952,0,0,3025,12.85505,0,0,1,0,1,15.946105
47,12,1,0,1,13.7149,12.4338,0,0,2209,13.07435,0,0,1,1,1,19.128408
20,12,1,0,1,13.7149,12.5323,0,0,400,13.1236,0,0,1,0,0,17.362677
26,12,1,0,1,13.7149,12.5323,0,0,676,13.1236,0,0,1,0,0,19.362108
21,12,1,0,0,13.7149,13.3397,0,0,441,13.5273,0,0,1,0,0,11.239898
24,12,1,0,1,13.7149,16.1129,0,0,576,14.9139,0,0,1,0,0,13.495073
39,12,1,0,1,13.7149,17.008101,0,0,1521,15.3615,0,0,1,0,1,22.999187
27,12,1,0,1,13.7149,19.424999,0,0,729,16.56995,0,0,1,0,0,13.501338
27,14,1,0,0,13.812799,17.036699,0,0,729,15.424749,0,0,1,0,0,27.425013
20,12,1,0,1,14.3222,17.9032,0,0,400,16.1127,0,0,1,0,0,27.377745
29,12,1,0,1,14.392799,15.3968,0,0,841,14.8948,0,0,1,0,0,14.161532
26,14,1,0,1,14.5064,17.187099,0,0,676,15.84675,0,0,1,0,0,23.306744
24,12,1,0,1,14.6945,11.816099,0,0,576,13.2553,0,0,1,1,1,30.56864
22,14,1,0,1,14.6945,12.5323,0,0,484,13.6134,0,0,1,0,1,21.778294
27,12,1,0,1,14.6945,13.427401,0,0,729,14.06095,0,0,1,1,1,34.077404
28,12,1,0,1,14.6945,14.8597,0,0,784,14.7771,0,0,1,1,1,28.744648
35,12,1,0,1,14.6945,17.187099,0,0,1225,15.9408,0,0,1,1,1,26.892572
22,12,1,0,1,14.7905,14.680599,0,0,484,14.73555,0,0,1,0,1,14.976765
42,12,1,0,1,14.9884,11.185901,0,0,1764,13.087151,0,1,0,0,1,34.656033
31,12,1,0,0,15.2823,17.9032,0,0,961,16.592751,0,0,1,1,1,12.288096
32,16,1,0,1,15.2823,19.693501,0,0,1024,17.4879,0,0,1,1,1,16.567503
22,13,1,0,1,15.4038,14.3208,0,0,484,14.8623,0,0,1,0,0,27.899277
26,12,1,0,1,15.411599,8.9516106,0,0,676,12.181604,0,0,1,0,0,35.836235
26,12,1,0,1,15.4782,18.1754,0,0,676,16.826799,0,0,1,0,0,24.593803
25,12,1,0,1,15.6741,3.7381899,0,0,625,9.7061453,0,0,1,1,1,6.7902813
28,15,1,0,1,15.6741,9.4528999,0,0,784,12.563499,0,0,1,0,0,25.306231
21,13,1,0,1,15.6741,12.5323,0,0,441,14.1032,0,0,1,1,1,18.085493
